start,stop,ligne
CHATEAUDEAU,STRASBOURGSTDENIS,4
STRASBOURGSTDENIS,REAUMURSEBASTOPOL,4
REAUMURSEBASTOPOL,ETIENNEMARCEL,4
ETIENNEMARCEL,LESHALLES,4
LESHALLES,CHATELET,4
CHATELET,CITE,4
CITE,STMICHEL,4
STMICHEL,ODEON,4
ODEON,STGERMAINDESPRES,4
STGERMAINDESPRES,STSULPICE,4
STSULPICE,STPLACIDE,4
STPLACIDE,MONTPARNASSEBIENVENUE,4
MONTPARNASSEBIENVENUE,VAVIN,4
VAVIN,RASPAIL,4
RASPAIL,DENFERTROCHEREAU,4
DENFERTROCHEREAU,MOUTONDUVERNET,4
MOUTONDUVERNET,ALESIA,4
ALESIA,PORTEDORLEANS,4
PORTEDORLEANS,MAIRIEDEMONTROUGE,4
SIMPLON,PORTEDECLIGNANCOURT,4
MARCADETPOISSONNIERS,SIMPLON,4
CHATEAUROUGE,MARCADETPOISSONNIERS,4
BARBESROCHECHOUART,CHATEAUROUGE,4
GAREDUNORD,BARBESROCHECHOUART,4
GAREDELEST,GAREDUNORD,4
CHATEAUDEAU,GAREDELEST,4
STRASBOURGSTDENIS,CHATEAUDEAU,4
REAUMURSEBASTOPOL,STRASBOURGSTDENIS,4
ETIENNEMARCEL,REAUMURSEBASTOPOL,4
LESHALLES,ETIENNEMARCEL,4
CHATELET,LESHALLES,4
CITE,CHATELET,4
STMICHEL,CITE,4
ODEON,STMICHEL,4
STGERMAINDESPRES,ODEON,4
STSULPICE,STGERMAINDESPRES,4
STPLACIDE,STSULPICE,4
MONTPARNASSEBIENVENUE,STPLACIDE,4
VAVIN,MONTPARNASSEBIENVENUE,4
RASPAIL,VAVIN,4
DENFERTROCHEREAU,RASPAIL,4
MOUTONDUVERNET,DENFERTROCHEREAU,4
ALESIA,MOUTONDUVERNET,4
PORTEDORLEANS,ALESIA,4
MAIRIEDEMONTROUGE,PORTEDORLEANS,4
BOBIGNYPABLOPICASSO,BOBIGNYPANTINRAYMONDQUENEAU,5
BOBIGNYPANTINRAYMONDQUENEAU,EGLISEDEPANTIN,5
EGLISEDEPANTIN,HOCHE,5
HOCHE,PORTEDEPANTIN,5
PORTEDEPANTIN,OURCQ,5
OURCQ,LAUMIERE,5
LAUMIERE,JAURES,5
JAURES,STALINGRAD,5
STALINGRAD,GAREDUNORD,5
GAREDUNORD,GAREDELEST,5
GAREDELEST,JACQUESBONSERGENT,5
JACQUESBONSERGENT,REPUBLIQUE,5
REPUBLIQUE,OBERKAMPF,5
OBERKAMPF,RICHARDLENOIR,5
RICHARDLENOIR,BREGUETSABIN,5
BREGUETSABIN,BASTILLE,5
BASTILLE,QUAIDELARAPEE,5
QUAIDELARAPEE,GAREDAUSTERLITZ,5
GAREDAUSTERLITZ,STMARCEL,5
STMARCEL,CAMPOFORMIO,5
CAMPOFORMIO,PLACEDITALIE,5
BOBIGNYPANTINRAYMONDQUENEAU,BOBIGNYPABLOPICASSO,5
EGLISEDEPANTIN,BOBIGNYPANTINRAYMONDQUENEAU,5
HOCHE,EGLISEDEPANTIN,5
PORTEDEPANTIN,HOCHE,5
OURCQ,PORTEDEPANTIN,5
LAUMIERE,OURCQ,5
JAURES,LAUMIERE,5
STALINGRAD,JAURES,5
GAREDUNORD,STALINGRAD,5
GAREDELEST,GAREDUNORD,5
JACQUESBONSERGENT,GAREDELEST,5
REPUBLIQUE,JACQUESBONSERGENT,5
OBERKAMPF,REPUBLIQUE,5
RICHARDLENOIR,OBERKAMPF,5
