start,stop,ligne
SEVRESBABYLONE,RUEDUBAC,12
RENNES,SEVRESBABYLONE,12
NOTREDAMEDESCHAMPS,RENNES,12
MONTPARNASSEBIENVENUE,NOTREDAMEDESCHAMPS,12
FALGUIERE,MONTPARNASSEBIENVENUE,12
PASTEUR,FALGUIERE,12
VOLONTAIRES,PASTEUR,12
VAUGIRARD,VOLONTAIRES,12
CONVENTION,VAUGIRARD,12
PORTEDEVERSAILLES,CONVENTION,12
CORENTINCELTON,PORTEDEVERSAILLES,12
MAIRIEDISSY,CORENTINCELTON,12
STDENISUNIVERSITE,BASILIQUEDESTDENIS,13
BASILIQUEDESTDENIS,STDENISPORTEDEPARIS,13
STDENISPORTEDEPARIS,CARREFOURPLEYEL,13
CARREFOURPLEYEL,MAIRIEDESTOUEN,13
MAIRIEDESTOUEN,GARIBALDI,13
GARIBALDI,PORTEDESTOUEN,13
PORTEDESTOUEN,GUYMOQUET,13
ASNIERESGENNEVILLIERSLESCOURTILLES,LESAGNETTES,13
LESAGNETTES,GABRIELPERI,13
GABRIELPERI,MAIRIEDECLICHY,13
MAIRIEDECLICHY,PORTEDECLICHY,13
PORTEDECLICHY,BROCHANT,13
LAFOURCHE,PLACEDECLICHY,13
PLACEDECLICHY,LIEGE,13
LIEGE,STLAZARE,13
STLAZARE,MIROMESNIL,13
MIROMESNIL,CHAMPSELYSEESCLEMENCEAU,13
CHAMPSELYSEESCLEMENCEAU,INVALIDES,13
INVALIDES,VARENNE,13
VARENNE,STFRANCOISXAVIER,13
STFRANCOISXAVIER,DUROC,13
DUROC,MONTPARNASSEBIENVENUE,13
MONTPARNASSEBIENVENUE,GAITE,13
GAITE,PERNETY,13
PERNETY,PLAISANCE,13
PLAISANCE,PORTEDEVANVES,13
PORTEDEVANVES,MALAKOFFPLATEAUDEVANVES,13
MALAKOFFPLATEAUDEVANVES,MALAKOFFRUEETIENNEDOLET,13
MALAKOFFRUEETIENNEDOLET,CHATILLONMONTROUGE,13
GUYMOQUET,LAFOURCHE,13
BROCHANT,LAFOURCHE,13
BASILIQUEDESTDENIS,STDENISUNIVERSITE,13
STDENISPORTEDEPARIS,BASILIQUEDESTDENIS,13
CARREFOURPLEYEL,STDENISPORTEDEPARIS,13
MAIRIEDESTOUEN,CARREFOURPLEYEL,13
GARIBALDI,MAIRIEDESTOUEN,13
PORTEDESTOUEN,GARIBALDI,13
GUYMOQUET,PORTEDESTOUEN,13
LESAGNETTES,ASNIERESGENNEVILLIERSLESCOURTILLES,13
GABRIELPERI,LESAGNETTES,13
MAIRIEDECLICHY,GABRIELPERI,13
PORTEDECLICHY,MAIRIEDECLICHY,13
BROCHANT,PORTEDECLICHY,13
PLACEDECLICHY,LAFOURCHE,13
LIEGE,PLACEDECLICHY,13
STLAZARE,LIEGE,13
MIROMESNIL,STLAZARE,13
CHAMPSELYSEESCLEMENCEAU,MIROMESNIL,13
INVALIDES,CHAMPSELYSEESCLEMENCEAU,13
VARENNE,INVALIDES,13
STFRANCOISXAVIER,VARENNE,13
DUROC,STFRANCOISXAVIER,13
MONTPARNASSEBIENVENUE,DUROC,13
GAITE,MONTPARNASSEBIENVENUE,13
PERNETY,GAITE,13
PLAISANCE,PERNETY,13
PORTEDEVANVES,PLAISANCE,13
MALAKOFFPLATEAUDEVANVES,PORTEDEVANVES,13
MALAKOFFRUEETIENNEDOLET,MALAKOFFPLATEAUDEVANVES,13
CHATILLONMONTROUGE,MALAKOFFRUEETIENNEDOLET,13
LAFOURCHE,GUYMOQUET,13
LAFOURCHE,BROCHANT,13
STLAZARE,MADELEINE,14
MADELEINE,PYRAMIDES,14
PYRAMIDES,CHATELET,14
CHATELET,GAREDELYON,14
GAREDELYON,BERCY,14
BERCY,COURSTEMILION,14
COURSTEMILION,BIBLIOTHEQUEFRANCOISMITTERRAND,14
BIBLIOTHEQUEFRANCOISMITTERRAND,OLYMPIADES,14
MADELEINE,STLAZARE,14
PYRAMIDES,MADELEINE,14
CHATELET,PYRAMIDES,14
GAREDELYON,CHATELET,14
BERCY,GAREDELYON,14
COURSTEMILION,BERCY,14
BIBLIOTHEQUEFRANCOISMITTERRAND,COURSTEMILION,14
OLYMPIADES,BIBLIOTHEQUEFRANCOISMITTERRAND,14
PORTEDESLILAS,STFARGEAU,3bis
STFARGEAU,PELLEPORT,3bis
PELLEPORT,GAMBETTA,3bis
STFARGEAU,PORTEDESLILAS,3bis
PELLEPORT,STFARGEAU,3bis
GAMBETTA,PELLEPORT,3bis
LOUISBLANC,JAURES,7bis
JAURES,BOLIVAR,7bis
BOLIVAR,BUTTESCHAUMONT,7bis
BUTTESCHAUMONT,BOTZARIS,7bis
BOTZARIS,PLACEDESFETES,7bis
PLACEDESFETES,PRESTGERVAIS,7bis
PRESTGERVAIS,DANUBE,7bis
DANUBE,BOTZARIS,7bis
JAURES,LOUISBLANC,7bis
BOLIVAR,JAURES,7bis
BUTTESCHAUMONT,BOLIVAR,7bis
BOTZARIS,BUTTESCHAUMONT,7bis
