nom_clean,nom_gare,x,y,Trafic,Ville,ligne
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris,5
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris,8
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris,9
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris,11
REUILLYDIDEROT,Reuilly-Diderot,654966.0143,6860981.5925,6037085,Paris,1
REUILLYDIDEROT,Reuilly-Diderot,654966.0143,6860981.5925,6037085,Paris,8
RICHARDLENOIR,Richard Lenoir,653918.3594,6862387.573,2172035,Paris,5
RICHELIEUDROUOT,Richelieu-Drouot,651516.8991,6863731.8941,5340869,Paris,8
RICHELIEUDROUOT,Richelieu-Drouot,651516.8991,6863731.8941,5340869,Paris,9
RIQUET,Riquet,654111.394,6865543.4601,2434730,Paris,7
ROBESPIERRE,Robespierre,657661.786,6861897.8455,4702422,Montreuil,9
ROME,Rome,650224.5081,6864903.8302,2992054,Paris,2
RUEDELAPOMPE,Rue de la Pompe (Av. G. Mandel),647040.6510000001,6862902.3761,3241496,Paris,9
RUEDESBOULETS,Rue des Boulets,655193.1503,6861537.1145,2654910,Paris,9
RUEDUBAC,Rue du Bac,650524.6020000001,6861934.8835,2389323,Paris,12
RUESTMAUR,Saint-Maur,654573.8244,6862850.872,3065770,Paris,3
SEGUR,Ségur,649172.8635,6861003.0844,1605135,Paris,10
SENTIER,Sentier,652135.2075,6863228.8943,3507732,Paris,3
SEVRESBABYLONE,Sèvres-Babylone,650577.4091,6861449.762999998,5430593,Paris,10
SEVRESBABYLONE,Sèvres-Babylone,650577.4091,6861449.762999998,5430593,Paris,12
SEVRESLECOURBE,Sèvres-Lecourbe,649327.7178,6860841.6954,2431794,Paris,6
SIMPLON,Simplon,652177.9554,6866190.0425,2756818,Paris,4
SOLFERINO,Solférino,650339.7683,6862265.6354,2130716,Paris,12
STALINGRAD,Stalingrad,653755.0955,6865114.557999998,7342659,Paris,2
STALINGRAD,Stalingrad,653755.0955,6865114.557999998,7342659,Paris,5
STALINGRAD,Stalingrad,653755.0955,6865114.557999998,7342659,Paris,7
STAMBROISE,Saint-Ambroise,654126.2223,6862513.3167,3037654,Paris,9
STAUGUSTIN,Saint-Augustin,650223.5598,6864051.0893,3853378,Paris,9
STDENISPORTEDEPARIS,Saint-Denis-Porte de Paris,652816.9646,6870187.543,4503548,Saint Denis,13
STDENISUNIVERSITE,Saint-Denis-Université,653454.4183,6871951.6549,4993498,Saint Denis,13
STFARGEAU,Saint-Fargeau,656320.4457,6863728.6864,737146,Paris,3bis
STFRANCOISXAVIER,Saint-François-Xavier,649691.21,6861485.1179,1756612,Paris,13
STGEORGES,Saint-Georges,651417.8007,6864470.9482,1258381,Paris,12
STGERMAINDESPRES,Saint-Germain-des-Prés,651114.5388,6861726.1589,4191939,Paris,4
STJACQUES,Saint-Jacques,651341.5779,6859409.3229,2324865,Paris,6
STLAZARE,Saint-Lazare,650436.9779,6864183.3906,46679970,Paris,3
STLAZARE,Saint-Lazare,650436.9779,6864183.3906,46679970,Paris,12
STLAZARE,Saint-Lazare,650436.9779,6864183.3906,46679970,Paris,13
STLAZARE,Saint-Lazare,650436.9779,6864183.3906,46679970,Paris,14
STMANDE,Saint-Mandé,657397.0779,6860857.927999998,6314385,Saint Mandé,1
STMARCEL,Saint-Marcel,653095.9282,6860009.3865,2286932,Paris,5
STMICHEL,Saint-Michel,651811.8161,6861659.0529,6713126,Paris,4
STPAUL,Saint-Paul (le Marais),653110.2705,6861878.3873,6443129,Paris,1
STPHILIPPEDUROULE,Saint-Philippe du Roule,649390.9483,6863820.7798,3076501,Paris,9
STPLACIDE,Saint-Placide,650595.6493,6860969.8856,3376988,Paris,4
STRASBOURGSTDENIS,Strasbourg-Saint-Denis,652641.5551,6863467.2926,9258372,Paris,4
STRASBOURGSTDENIS,Strasbourg-Saint-Denis,652641.5551,6863467.2926,9258372,Paris,8
STRASBOURGSTDENIS,Strasbourg-Saint-Denis,652641.5551,6863467.2926,9258372,Paris,9
STSEBASTIENFROISSART,Saint-Sébastien-Froissart,653574.4612,6862534.3482,1731645,Paris,8
STSULPICE,Saint-Sulpice,650927.7173,6861500.1493,2350813,Paris,4
SULLYMORLAND,Sully-Morland,653182.1536,6861433.1715,1550640,Paris,7
TELEGRAPHE,Télégraphe,655909.0691,6864106.8825,2425536,Paris,11
TEMPLE,Temple,653163.4882,6863150.7891,1258217,Paris,3
TERNES,Ternes,648536.2024,6864445.5141,3627447,Paris,2
TOLBIAC,Tolbiac,652811.918,6858677.1935,3451768,Paris,7
TRINITEDESTIENNEDORVES,Trinité d'Estienne d'Orves,651045.3002,6864239.7516,2133878,Paris,12
TROCADERO,Trocadéro,647636.2013,6862795.8336,9381362,Paris,6
TROCADERO,Trocadéro,647636.2013,6862795.8336,9381362,Paris,9
TUILERIES,Tuileries,650857.0163,6862909.8123,2682811,Paris,1
VANEAU,Vaneau,650191.3229,6861188.8641,1067512,Paris,10
VARENNE,Varenne,649744.034,6862088.4335,1410421,Paris,13
VAUGIRARD,Vaugirard (Adolphe Chériou),648703.4994,6860167.7255,3663937,Paris,12
VAVIN,Vavin,650753.8774,6860450.3764,2182742,Paris,4
VICTORHUGO,Victor Hugo,647576.3599,6863545.1478,4005276,Paris,2
VILLEJUIFLEOLAGRANGE,Villejuif-Léo Lagrange,653284.8753,6856256.2281,2799771,Villejuif,7
VILLEJUIFLOUISARAGON,Villejuif-Louis Aragon,653552.4584,6854349.8692,7479307,Villejuif,7
VILLEJUIFPAULVAILLANTCOUTURIER,Villejuif-Paul Vaillant-Couturier,653594.5882,6855341.3986,2470026,Villejuif,7
VILLIERS,Villiers,649776.2512,6864787.9506,6237308,Paris,2
VILLIERS,Villiers,649776.2512,6864787.9506,6237308,Paris,3
VOLONTAIRES,Volontaires,649207.5446,6860384.4512,2342480,Paris,12
VOLTAIRE,Voltaire (Léon Blum),654562.2299,6862113.3974,5195333,Paris,9
WAGRAM,Wagram,649008.6628,6865090.3639,2565333,Paris,3
