nom_clean,nom_gare,x,y,Trafic,Ville,ligne
COURSTEMILION,Cour Saint-Émilion,654975.2848,6859428.6327,6068940,Paris,14
CRETEILLECHAT,Créteil-L'Échat (Hôpital Mondor),659556.7711,6855325.4146,2328225,Créteil,8
CRETEILPREFECTURE,Créteil-Préfecture (Hôtel de Ville),660273.7592,6853448.5114,5028020,Créteil,8
CRETEILUNIVERSITE,Créteil-Université,659626.4637,6854573.0018,3558391,Créteil,8
CRIMEE,Crimée,654341.7793,6865822.0177,5921134,Paris,7
CROIXDECHAVAUX,Croix de Chavaux (Jacques Duclos),658586.0485,6862140.1552,5210557,Montreuil,9
DANUBE,Danube,655516.8981,6864827.9634,566268,Paris,7bis
DAUMESNIL,Daumesnil,655646.4124,6860114.1078,5317608,Paris,6
DAUMESNIL,Daumesnil,655646.4124,6860114.1078,5317608,Paris,8
DENFERTROCHEREAU,Denfert-Rochereau,650946.0738,6859473.8194,4401791,Paris,4
DENFERTROCHEREAU,Denfert-Rochereau,650946.0738,6859473.8194,4401791,Paris,6
DUGOMMIER,Dugommier,655199.4896,6860061.0017,2836152,Paris,6
DUPLEIX,Dupleix,648164.2594,6861386.5825,4092602,Paris,6
DUROC,Duroc,649877.4993,6860988.3813,3645141,Paris,10
DUROC,Duroc,649877.4993,6860988.3813,3645141,Paris,13
ECOLEMILITAIRE,École Militaire,649084.5508,6861850.7519,4638136,Paris,8
ECOLEVETERINAIREDEMAISONSALFORT,École Vétérinaire de Maisons-Alfort,657583.9566,6857347.8995,3520624,Maisons -Alfort,8
EDGARQUINET,Edgar Quinet,650559.8002,6860279.0962,2364420,Paris,6
EGLISEDAUTEUIL,Église d'Auteuil,646364.8036,6861037.7277,182153,Paris,10
EGLISEDEPANTIN,Église de Pantin,656983.2711,6866076.3042,4056872,Pantin,5
ESPLANADEDELADEFENSE,Esplanade de la Défense,644852.7454,6865664.6753,10255121,Puteaux,1
ETIENNEMARCEL,Étienne Marcel,652232.0865,6862838.6691,2907953,Paris,4
EUROPE,Europe,650293.8318,6864518.8631,1694103,Paris,3
EXELMANS,Exelmans,645692.4042,6860575.6926,2152072,Paris,9
FAIDHERBECHALIGNY,Faidherbe Chaligny,654803.4286,6861302.4487,3206635,Paris,8
FALGUIERE,Falguière,649937.2765,6860707.7605,912582,Paris,12
FELIXFAURE,Félix Faure,648031.8468,6860532.9003,1865477,Paris,8
FILLESDUCALVAIRE,Filles du Calvaire,653535.9904,6862766.9605,1718975,Paris,8
FORTDAUBERVILLIERS,Fort d'Aubervilliers,656348.6195,6868493.2879,4165208,Aubervilliers,7
FRANKLINDROOSEVELT,Franklin D.Roosevelt,649348.2201,6863407.2048,10705337,Paris,1
FRANKLINDROOSEVELT,Franklin D.Roosevelt,649348.2201,6863407.2048,10705337,Paris,9
FRONTPOPULAIRE,Front Populaire,653520.3175,6867583.1321,2877264,Saint Denis / Aubervilliers,12
GABRIELPERI,Gabriel Péri-Asnières-Gennevilliers,648308.4732,6868718.8268,5405121,Asnières,13
GAITE,Gaïté,650272.1513,6860055.6505,2995328,Paris,13
GALLIENI,Gallieni (Parc de Bagnolet),657208.4603,6862969.6694,5841623,Bagnolet,3
GAMBETTA,Gambetta,655908.7036,6862932.8653,7137504,Paris,3
GAMBETTA,Gambetta,655908.7036,6862932.8653,7137504,Paris,3bis
GAREDAUSTERLITZ,Gare d'Austerlitz,653420.212,6860433.5551,10443637,Paris,5
